id_articolo,url_articolo,titolo,data_pubblicazione_iso,n_words_body
us-news/2026/may/22/tulsi-gabbard-resignation-intelligence-director,https://www.theguardian.com/us-news/2026/may/22/tulsi-gabbard-resignation-intelligence-director,US intelligence director Tulsi Gabbard leaving post after rocky tenure,2026-05-22T20:06:34Z,839
world/2026/may/22/czech-president-petr-pavel-nato-show-teeth-russia-provocations,https://www.theguardian.com/world/2026/may/22/czech-president-petr-pavel-nato-show-teeth-russia-provocations,Czech president urges Nato to ‘show its teeth’ over Russia’s provocations,2026-05-22T19:25:50Z,1097
commentisfree/2026/may/22/the-guardian-view-on-britains-coming-energy-shock-mini-measures-wont-suffice,https://www.theguardian.com/commentisfree/2026/may/22/the-guardian-view-on-britains-coming-energy-shock-mini-measures-wont-suffice,The Guardian view on Britain’s coming energy shock: mini-measures won’t suffice,2026-05-22T16:59:16Z,603
world/live/2026/may/22/nato-mark-rutte-us-donald-trump-troops-poland-summit-russia-baltics-drones-tensions-ukraine-latest-news-updates,https://www.theguardian.com/world/live/2026/may/22/nato-mark-rutte-us-donald-trump-troops-poland-summit-russia-baltics-drones-tensions-ukraine-latest-news-updates,"US concerned Russian campaign against Baltics could ‘spark into something bigger’, says Rubio – as it happened",2026-05-22T16:35:34Z,5497
politics/live/2026/may/22/andy-burnham-makerfield-byelection-green-labour-starmer-latest-news-updates,https://www.theguardian.com/politics/live/2026/may/22/andy-burnham-makerfield-byelection-green-labour-starmer-latest-news-updates,Burnham says politics ‘needs new script’ and vows to change Labour if elected as Makerfield MP – as it happened ,2026-05-22T15:21:45Z,3392
us-news/2026/may/22/marco-rubio-nears-goal-topple-cuba-government,https://www.theguardian.com/us-news/2026/may/22/marco-rubio-nears-goal-topple-cuba-government,‘This is his legacy’: Marco Rubio nears goal of toppling Cuba’s government ,2026-05-22T14:31:46Z,1056
business/live/2026/may/22/uk-borrowing-higher-retail-sales-drivers-fuel-business-live-news,https://www.theguardian.com/business/live/2026/may/22/uk-borrowing-higher-retail-sales-drivers-fuel-business-live-news,UK bond yields set for biggest weekly drop since 2024; retail sales fall as drivers cut back on fuel - as it happened,2026-05-22T14:05:31Z,3135
world/2026/may/22/jailing-daria-egereva-plight-russia-indigenous-people,https://www.theguardian.com/world/2026/may/22/jailing-daria-egereva-plight-russia-indigenous-people,‘We will not survive’: jailing of Daria Egereva highlights plight of Russia’s Indigenous people,2026-05-22T13:00:01Z,898
film/2026/may/22/cannes-2026-who-will-win-minotaur,https://www.theguardian.com/film/2026/may/22/cannes-2026-who-will-win-minotaur,Little glitz and underperforming auteurs: how Cannes 2026 went – and who will win,2026-05-22T12:59:46Z,726
uk-news/2026/may/22/drone-shortage-london-underground-nato-british-military,https://www.theguardian.com/uk-news/2026/may/22/drone-shortage-london-underground-nato-british-military,Mind the drone gap: war games begin inside secret Nato bunker in London tube station,2026-05-22T12:24:40Z,894
world/2026/may/22/western-europe-braces-first-heat-event-summer,https://www.theguardian.com/world/2026/may/22/western-europe-braces-first-heat-event-summer,‘Full-on summer heat’: western Europe braces for unusually high temperatures,2026-05-22T11:01:08Z,483
politics/2026/may/22/john-healey-asks-nigel-farage-if-any-of-gift-may-have-come-from-russia-linked-profits,https://www.theguardian.com/politics/2026/may/22/john-healey-asks-nigel-farage-if-any-of-gift-may-have-come-from-russia-linked-profits,Healey asks Farage if any of £5m gift may have come from Russia-linked profits,2026-05-22T10:00:55Z,648
stage/2026/may/22/revolution-days-review-fearless-aid-worker-bears-witness-to-the-arab-spring,https://www.theguardian.com/stage/2026/may/22/revolution-days-review-fearless-aid-worker-bears-witness-to-the-arab-spring,Revolution Days review – fearless aid worker bears witness to the Arab spring,2026-05-22T09:58:43Z,371
world/2026/may/22/friday-briefing-as-israels-coalition-collapses-can-its-prime-minister-hang-on-to-power,https://www.theguardian.com/world/2026/may/22/friday-briefing-as-israels-coalition-collapses-can-its-prime-minister-hang-on-to-power,"Friday briefing: ​As Israel’s coalition collapses, can its prime minister hang on to power?",2026-05-22T05:44:28Z,2818
world/2026/may/22/ukraine-war-briefing-oil-plant-strikes-all-going-to-plan-says-zelenskyy,https://www.theguardian.com/world/2026/may/22/ukraine-war-briefing-oil-plant-strikes-all-going-to-plan-says-zelenskyy,"Ukraine war briefing: Oil plant strikes all going to plan, says Zelenskyy",2026-05-22T02:33:00Z,689
us-news/live/2026/may/21/donald-trump-ballroom-reconciliation-bill-republicans-democrats-war-powers-iran-epa-ai-latest-news-updates,https://www.theguardian.com/us-news/live/2026/may/21/donald-trump-ballroom-reconciliation-bill-republicans-democrats-war-powers-iran-epa-ai-latest-news-updates,"Ro Khanna, AOC criticize Democrats’ 2024 election postmortem for not mentioning Israel’s war in Gaza – as it happened",2026-05-22T02:00:51Z,9145
world/2026/may/22/trump-5000-troops-poland-military-support,https://www.theguardian.com/world/2026/may/22/trump-5000-troops-poland-military-support,"Trump pledges an additional 5,000 troops for Poland in apparent u-turn",2026-05-22T01:08:06Z,734
world/2026/may/22/camp-humphreys-south-korea-us-military-base,https://www.theguardian.com/world/2026/may/22/camp-humphreys-south-korea-us-military-base,South Korea hosts America’s biggest overseas military base – but what does its future look like under Trump?,2026-05-22T00:25:59Z,926
world/live/2026/may/21/czech-republic-petr-pavel-ukraine-baltics-drones-russia-nato-security-latest-news-updates,https://www.theguardian.com/world/live/2026/may/21/czech-republic-petr-pavel-ukraine-baltics-drones-russia-nato-security-latest-news-updates,"Many Nato countries not spending enough to support Ukraine, says Rutte – as it happened",2026-05-21T16:30:52Z,5770
world/2026/may/21/oil-markets-nearing-red-zone-as-holiday-season-nears-warns-iea-chief,https://www.theguardian.com/world/2026/may/21/oil-markets-nearing-red-zone-as-holiday-season-nears-warns-iea-chief,"Oil markets nearing ‘red zone’ as Iran crisis continues, warns IEA chief",2026-05-21T16:10:13Z,858
australia-news/2026/may/22/one-nation-pauline-hanson-australia-questions-climate-science-ntwnfb,https://www.theguardian.com/australia-news/2026/may/22/one-nation-pauline-hanson-australia-questions-climate-science-ntwnfb,One Nation says it’s the only party in Australia to question climate science. It should ask itself why,2026-05-21T15:00:34Z,1394
world/2026/may/21/hungary-limit-prime-ministers-maximum-eight-year-terms-magyar-orban,https://www.theguardian.com/world/2026/may/21/hungary-limit-prime-ministers-maximum-eight-year-terms-magyar-orban,"Hungary to limit PMs to eight years in office, warding off any Orbán comeback",2026-05-21T14:53:50Z,662
commentisfree/2026/may/21/politicians-bond-vigilantes-markets-gilts-bank-of-england,https://www.theguardian.com/commentisfree/2026/may/21/politicians-bond-vigilantes-markets-gilts-bank-of-england,Britain’s politicians need to worry less about the bond markets – and more about the Bank of England,2026-05-21T12:45:44Z,1166
australia-news/2026/may/21/afternoon-update-thursday-ntwnfb,https://www.theguardian.com/australia-news/2026/may/21/afternoon-update-thursday-ntwnfb,Afternoon Update: Penny Wong condemns Israeli minister; unemployment rate jumps; and taking a Tesla for a swim,2026-05-21T06:54:59Z,761
business/2026/may/20/rachel-reeves-summer-bus-rides-food-tariffs-inflation-fuel-duty,https://www.theguardian.com/business/2026/may/20/rachel-reeves-summer-bus-rides-food-tariffs-inflation-fuel-duty,Reeves to promise free summer bus rides for children and food tariff cuts in living costs package,2026-05-20T21:30:52Z,782
australia-news/2026/may/21/morning-mail-thursday-ntwnfb,https://www.theguardian.com/australia-news/2026/may/21/morning-mail-thursday-ntwnfb,"Morning Mail: ATO rebuked after 97-year-old fined, Keating defends tax changes, outrage over Israel video of flotilla activists",2026-05-20T21:16:12Z,976
world/2026/may/20/uk-struggles-to-reassure-ukraine-after-easing-new-sanctions-on-russian-oil,https://www.theguardian.com/world/2026/may/20/uk-struggles-to-reassure-ukraine-after-easing-new-sanctions-on-russian-oil,UK struggles to reassure Ukraine after easing new sanctions on Russian oil,2026-05-20T18:55:17Z,961
world/live/2026/may/20/us-iran-israel-lebanon-gaza-trump-oil-hormuz-latest-news-updates,https://www.theguardian.com/world/live/2026/may/20/us-iran-israel-lebanon-gaza-trump-oil-hormuz-latest-news-updates,Outrage grows over treatment of Gaza flotilla activists; US boards Iranian oil tanker – Middle East crisis as it happened,2026-05-20T18:30:04Z,5637
commentisfree/2026/may/20/the-guardian-view-on-britain-and-europe-international-upheaval-demands-new-terms-of-debate,https://www.theguardian.com/commentisfree/2026/may/20/the-guardian-view-on-britain-and-europe-international-upheaval-demands-new-terms-of-debate,The Guardian view on Britain and Europe: international upheaval demands new terms of debate,2026-05-20T17:52:03Z,599
world/2026/may/20/china-russia-xi-jinping-vladimir-putin-meet-beijing-after-trump-visit,https://www.theguardian.com/world/2026/may/20/china-russia-xi-jinping-vladimir-putin-meet-beijing-after-trump-visit,Xi and Putin condemn ‘irresponsible’ US foreign policy at Beijing summit,2026-05-20T17:13:05Z,983
politics/2026/may/20/from-fuel-duty-to-sanctions-kemi-wants-to-make-it-clear-how-little-she-understands,https://www.theguardian.com/politics/2026/may/20/from-fuel-duty-to-sanctions-kemi-wants-to-make-it-clear-how-little-she-understands,"From fuel duty to sanctions, Kemi wants to make it clear how little she understands",2026-05-20T17:08:14Z,1085
uk-news/2026/may/20/russia-jet-near-collision-flying-near-raf-spy-plane,https://www.theguardian.com/uk-news/2026/may/20/russia-jet-near-collision-flying-near-raf-spy-plane,Russian jet causes ‘dangerous’ near miss after flying close to RAF spy plane,2026-05-20T17:00:12Z,393
politics/live/2026/may/20/keir-starmer-wes-streeting-labour-leadership-kemi-badenoch-pmqs-conservatives-reform-uk-politics-latest-news-updates,https://www.theguardian.com/politics/live/2026/may/20/keir-starmer-wes-streeting-labour-leadership-kemi-badenoch-pmqs-conservatives-reform-uk-politics-latest-news-updates,"Streeting says he resigned because Labour ‘in fight of our lives against nationalism’, and is currently losing – as it happened",2026-05-20T16:18:13Z,9117
business/live/2026/may/20/uk-inflation-eases-lower-electricity-gas-bills-iran-war-business-latest-news-updates,https://www.theguardian.com/business/live/2026/may/20/uk-inflation-eases-lower-electricity-gas-bills-iran-war-business-latest-news-updates,"UK inflation eases more than expected to 2.8%, led by lower electricity and gas bills – as it happened",2026-05-20T14:40:35Z,5504
world/2026/may/20/brexit-may-be-back-but-britain-needs-to-know-what-it-wants,https://www.theguardian.com/world/2026/may/20/brexit-may-be-back-but-britain-needs-to-know-what-it-wants,"Brexit may be back, but Britain needs to know what it wants",2026-05-20T14:20:25Z,1109
world/live/2026/may/20/lithuania-ukraine-belarus-estonia-baltcis-drones-air-alert-europe-vladimir-putin-xi-jinping-china-eu-nato-latest-news-updates,https://www.theguardian.com/world/live/2026/may/20/lithuania-ukraine-belarus-estonia-baltcis-drones-air-alert-europe-vladimir-putin-xi-jinping-china-eu-nato-latest-news-updates,"Russian threats against Baltics ‘unacceptable’ and danger to ‘our entire union’, EU’s von der Leyen says - as it happened",2026-05-20T14:11:03Z,4057
world/2026/may/20/how-xi-jinping-china-welcomed-donald-trump-vladimir-putin,https://www.theguardian.com/world/2026/may/20/how-xi-jinping-china-welcomed-donald-trump-vladimir-putin,Same but different: how Xi and China welcomed Trump and Putin,2026-05-20T13:44:56Z,983
world/2026/may/20/lithuania-vilnius-drone-alert-leaders-bunkers,https://www.theguardian.com/world/2026/may/20/lithuania-vilnius-drone-alert-leaders-bunkers,Lithuanian leaders rushed to bunkers as drone violates country’s airspace,2026-05-20T13:43:30Z,553
politics/2026/may/20/uk-relaxes-strict-sanctions-on-russian-crude-oil,https://www.theguardian.com/politics/2026/may/20/uk-relaxes-strict-sanctions-on-russian-crude-oil,UK delays some sanctions on Russian oil and gas amid Middle East conflict,2026-05-20T13:20:39Z,689
politics/2026/may/20/planned-fuel-duty-rise-to-be-scrapped-says-keir-starmer,https://www.theguardian.com/politics/2026/may/20/planned-fuel-duty-rise-to-be-scrapped-says-keir-starmer,"Planned fuel duty rise to be scrapped, says Keir Starmer",2026-05-20T11:36:46Z,487
membership/2026/may/20/we-cant-talk-about-press-freedom-without-talking-about-misogyny,https://www.theguardian.com/membership/2026/may/20/we-cant-talk-about-press-freedom-without-talking-about-misogyny,We can’t talk about press freedom without talking about misogyny,2026-05-20T11:26:23Z,1069
us-news/2026/may/20/first-thing-trump-critic-thomas-massie-defeated-in-kentucky-republican-house-primary,https://www.theguardian.com/us-news/2026/may/20/first-thing-trump-critic-thomas-massie-defeated-in-kentucky-republican-house-primary,First Thing: Trump critic Thomas Massie defeated in Kentucky Republican House primary,2026-05-20T11:10:07Z,1007
environment/2026/may/20/owl-casualty-of-russia-war-ukraine-birds,https://www.theguardian.com/environment/2026/may/20/owl-casualty-of-russia-war-ukraine-birds,"Blinded and broken, Sunny the owl becomes another casualty of Russia’s war ",2026-05-20T10:49:32Z,1056
football/2026/may/20/fc-chernihiv-ukranian-cup-final,https://www.theguardian.com/football/2026/may/20/fc-chernihiv-ukranian-cup-final,‘A beacon of hope’: FC Chernihiv set for Ukrainian Cup final against all odds,2026-05-20T07:00:27Z,1171
media/2026/may/20/guardian-correspondent-and-photographer-win-war-reporting-prize,https://www.theguardian.com/media/2026/may/20/guardian-correspondent-and-photographer-win-war-reporting-prize,Guardian correspondent and photographer win war reporting prize,2026-05-20T07:00:26Z,726
business/2026/may/20/uk-inflation-slows-energy-price-cap-softens-impact-of-rising-fuel-costs,https://www.theguardian.com/business/2026/may/20/uk-inflation-slows-energy-price-cap-softens-impact-of-rising-fuel-costs,UK inflation slows to 2.8% as energy price cap softens impact of rising fuel costs,2026-05-20T06:01:29Z,820
world/2026/may/20/ukraine-war-briefing-britain-to-buy-diesel-and-jet-fuel-made-from-russian-crude-oil,https://www.theguardian.com/world/2026/may/20/ukraine-war-briefing-britain-to-buy-diesel-and-jet-fuel-made-from-russian-crude-oil,Ukraine war briefing: Britain to buy diesel and jet fuel made from Russian crude oil,2026-05-20T00:44:34Z,721
world/2026/may/19/vladimir-putin-beijing-china-state-visit-xi-jinping-russia,https://www.theguardian.com/world/2026/may/19/vladimir-putin-beijing-china-state-visit-xi-jinping-russia,Vladimir Putin arrives in Beijing for state visit hot on heels of Trump,2026-05-20T00:28:36Z,956
australia-news/2026/may/20/morning-mail-wednesday-ntwnfb,https://www.theguardian.com/australia-news/2026/may/20/morning-mail-wednesday-ntwnfb,"Morning Mail: scientists sound alarm over CSIRO job losses, fears grow over Ebola outbreak, Arsenal crowned Premier League champions",2026-05-19T21:35:26Z,1022
culture/2026/may/19/international-booker-prize-goes-to-novel-originally-written-in-mandarin-chinese-for-the-first-time,https://www.theguardian.com/culture/2026/may/19/international-booker-prize-goes-to-novel-originally-written-in-mandarin-chinese-for-the-first-time,International Booker prize goes to novel originally written in Mandarin Chinese for the first time,2026-05-19T21:30:14Z,708
world/live/2026/may/19/us-israel-iran-war-trump-peace-attacks-gulf-allies-strikes-hormuz-latest-news-updates,https://www.theguardian.com/world/live/2026/may/19/us-israel-iran-war-trump-peace-attacks-gulf-allies-strikes-hormuz-latest-news-updates,JD Vance says US remains ‘locked and loaded’ to restart military campaign as Iran warns of ‘new fronts’ – as it happened,2026-05-19T18:46:02Z,5229
politics/2026/may/19/john-healey-says-labour-infighting-puts-governments-credibility-at-risk,https://www.theguardian.com/politics/2026/may/19/john-healey-says-labour-infighting-puts-governments-credibility-at-risk,John Healey says Labour infighting puts government’s credibility at risk,2026-05-19T18:22:53Z,605
world/live/2026/may/19/europe-ukraine-russia-belarus-nuclear-drills-un-security-council-eu-us-hungary-peter-magyar-poland-nato-latest-news-updates,https://www.theguardian.com/world/live/2026/may/19/europe-ukraine-russia-belarus-nuclear-drills-un-security-council-eu-us-hungary-peter-magyar-poland-nato-latest-news-updates,US warns Russia after Moscow threatens Latvia – as it happened,2026-05-19T17:17:35Z,5429
tv-and-radio/2026/may/19/moldovan-public-tv-chief-resigns-over-eurovision-neighbourhood-voting,https://www.theguardian.com/tv-and-radio/2026/may/19/moldovan-public-tv-chief-resigns-over-eurovision-neighbourhood-voting,Moldovan public TV chief resigns over Eurovision ‘neighbourhood voting’ lapse,2026-05-19T17:05:16Z,619
world/2026/may/19/russian-jamming-blamed-nato-jet-downs-ukrainian-drone-estonia,https://www.theguardian.com/world/2026/may/19/russian-jamming-blamed-nato-jet-downs-ukrainian-drone-estonia,Russian jamming blamed after Nato jet downs Ukrainian drone over Estonia,2026-05-19T15:57:54Z,526
film/2026/may/19/minotaur-review-cannes-film-festival-andrei-zvyagintsev-ukraine-russia,https://www.theguardian.com/film/2026/may/19/minotaur-review-cannes-film-festival-andrei-zvyagintsev-ukraine-russia,Minotaur review – Andrei Zvyagintsev’s scorching noir intrigue amid the Ukraine war,2026-05-19T15:50:07Z,649
commentisfree/2026/may/19/icc-karim-khan-investigation,https://www.theguardian.com/commentisfree/2026/may/19/icc-karim-khan-investigation,The ICC’s investigation of its chief prosecutor has been a failure,2026-05-19T15:00:08Z,1620
world/2026/may/19/strike-near-uae-reactor-concerns-nuclear-plant-safety-iran-war-middle-east,https://www.theguardian.com/world/2026/may/19/strike-near-uae-reactor-concerns-nuclear-plant-safety-iran-war-middle-east,Strike near UAE reactor revives concerns over nuclear plant safety in wartime,2026-05-19T14:49:59Z,684
business/live/2026/may/19/uk-wage-growth-unemployment-rate-markets-business-live-news,https://www.theguardian.com/business/live/2026/may/19/uk-wage-growth-unemployment-rate-markets-business-live-news,UK wage growth slows and unemployment rate rises as companies react to Iran war – as it happened,2026-05-19T14:33:02Z,6242
football/2026/may/19/wiegman-mead-next-move-vital-england-prospects-toone-recall,https://www.theguardian.com/football/2026/may/19/wiegman-mead-next-move-vital-england-prospects-toone-recall,Wiegman tells Mead next move is vital for England prospects as Toone earns recall,2026-05-19T12:33:13Z,473
world/live/2026/may/18/us-israel-iran-lebanon-donald-trump-hormuz-oil-latest-news-updates,https://www.theguardian.com/world/live/2026/may/18/us-israel-iran-lebanon-donald-trump-hormuz-oil-latest-news-updates,"UAE restores power to Barakah nuclear plant after drone strike, says IAEA – as it happened",2026-05-19T02:06:01Z,7104
world/2026/may/19/russia-china-border-increase-trade-ukraine-war,https://www.theguardian.com/world/2026/may/19/russia-china-border-increase-trade-ukraine-war,"From sanctioned cars to beauty clinics, Russian rubles have flowed into China’s border towns since Ukraine war",2026-05-19T01:14:31Z,1642
world/2026/may/19/ukraine-war-briefing-chinese-ship-hit-odesa-port-zelenskyy,https://www.theguardian.com/world/2026/may/19/ukraine-war-briefing-chinese-ship-hit-odesa-port-zelenskyy,"Ukraine war briefing: Chinese ship hit on way in to Odesa port, says Zelenskyy",2026-05-19T00:22:51Z,805
world/2026/may/18/disposable-terrorists-for-hire-menace-western-countries,https://www.theguardian.com/world/2026/may/18/disposable-terrorists-for-hire-menace-western-countries,‘Disposable’ operatives for hire are a new menace for western countries,2026-05-18T17:30:25Z,892
world/live/2026/may/18/europe-eu-ukraine-russia-greenland-bulgaria-germany-latest-news-updates,https://www.theguardian.com/world/live/2026/may/18/europe-eu-ukraine-russia-greenland-bulgaria-germany-latest-news-updates,Angela Merkel says Europe ‘not making sufficient use of diplomatic potential’ to engage with Russia – as it happened,2026-05-18T16:28:03Z,3944
football/2026/may/18/luis-castro-levante-la-liga-relegation-battle,https://www.theguardian.com/football/2026/may/18/luis-castro-levante-la-liga-relegation-battle,Luís Castro eclipses famous namesake after taking Levante to verge of safety,2026-05-18T16:14:43Z,1861
politics/2026/may/18/rachel-reeves-fuel-duty-cost-of-living,https://www.theguardian.com/politics/2026/may/18/rachel-reeves-fuel-duty-cost-of-living,Reeves poised to cancel planned fuel duty rise to help with cost of living,2026-05-18T15:11:00Z,550
football/2026/may/18/premier-league-title-race-arsenal-man-city-aston-villa-burnley,https://www.theguardian.com/football/2026/may/18/premier-league-title-race-arsenal-man-city-aston-villa-burnley,The Premier League title is Arsenal’s to lose. But pressure does strange things to teams,2026-05-18T14:56:42Z,1091
world/2026/may/18/xi-jinping-vladimir-putin-china-russia-four-days-after-donald-trump-us-visit,https://www.theguardian.com/world/2026/may/18/xi-jinping-vladimir-putin-china-russia-four-days-after-donald-trump-us-visit,Xi prepares to welcome Putin to China four days after hosting Trump ,2026-05-18T14:10:44Z,593
politics/2026/may/18/rejoin-reset-swiss-how-uk-try-unpick-brexit,https://www.theguardian.com/politics/2026/may/18/rejoin-reset-swiss-how-uk-try-unpick-brexit,"Rejoin, reset or go Swiss-style? How the UK could try to unpick Brexit",2026-05-18T13:23:35Z,580
business/2026/may/18/rising-prices-money-inflation-higher-interest-rates-petrol-prices,https://www.theguardian.com/business/2026/may/18/rising-prices-money-inflation-higher-interest-rates-petrol-prices,"Rising prices are Britons’ biggest money worry as inflation stays high, survey finds",2026-05-18T12:37:06Z,475
tv-and-radio/2026/may/18/nul-points-the-uks-10-biggest-eurovision-flops-of-all-time,https://www.theguardian.com/tv-and-radio/2026/may/18/nul-points-the-uks-10-biggest-eurovision-flops-of-all-time,Nul points! The UK’s 10 biggest Eurovision flops of all time,2026-05-18T11:08:34Z,1039
